äJénì˙,èIóπì˙,âÒìöÇÃêiçsèÛãµ,èIóπèÛãµ,âÒìöéûä‘ÅiïbÅj,ìØà”Ç∑ÇÈÇ©,èIóπì˙,IDê∂ê¨,ìΩñº,ïÍçëåÍ,ìØà”Ç∑ÇÈÇ©,îNóÓ,ê´ï ,ç≈èIäwó,å¬êlé˚ì¸,ê¢ë—é˚ì¸,BADEó˚èKÉqÉìÉg1âéﬂ1,BADEó˚èKÉqÉìÉg1âéﬂ2,BADEó˚èKÉqÉìÉg1âéﬂ3,BADEó˚èKÉqÉìÉg1âéﬂ4,BADEó˚èKÉqÉìÉg2âéﬂ1,BADEó˚èKÉqÉìÉg2âéﬂ2,BADEó˚èKÉqÉìÉg2âéﬂ3,BADEó˚èKÉqÉìÉg2âéﬂ4,BADEó˚èKÉqÉìÉg3âéﬂ1,BADEó˚èKÉqÉìÉg3âéﬂ2,BADEó˚èKÉqÉìÉg3âéﬂ3,BADEó˚èKÉqÉìÉg3âéﬂ4,BADE1ÉqÉìÉg1âéﬂ1,BADE1ÉqÉìÉg1âéﬂ2,BADE1ÉqÉìÉg1âéﬂ3,BADE1ÉqÉìÉg1âéﬂ4,BADE1ÉqÉìÉg2âéﬂ1,BADE1ÉqÉìÉg2âéﬂ2,BADE1ÉqÉìÉg2âéﬂ3,BADE1ÉqÉìÉg2âéﬂ4,BADE1ÉqÉìÉg3âéﬂ1,BADE1ÉqÉìÉg3âéﬂ2,BADE1ÉqÉìÉg3âéﬂ3,BADE1ÉqÉìÉg3âéﬂ4,BADE2ÉqÉìÉg1âéﬂ1,BADE2ÉqÉìÉg1âéﬂ2,BADE2ÉqÉìÉg1âéﬂ3,BADE2ÉqÉìÉg1âéﬂ4,BADE2ÉqÉìÉg2âéﬂ1,BADE2ÉqÉìÉg2âéﬂ2,BADE2ÉqÉìÉg2âéﬂ3,BADE2ÉqÉìÉg2âéﬂ4,BADE2ÉqÉìÉg3âéﬂ1,BADE2ÉqÉìÉg3âéﬂ2,BADE2ÉqÉìÉg3âéﬂ3,BADE2ÉqÉìÉg3âéﬂ4,BADE3ÉqÉìÉg1âéﬂ1,BADE3ÉqÉìÉg1âéﬂ2,BADE3ÉqÉìÉg1âéﬂ3,BADE3ÉqÉìÉg1âéﬂ4,BADE3ÉqÉìÉg2âéﬂ1,BADE3ÉqÉìÉg2âéﬂ2,BADE3ÉqÉìÉg2âéﬂ3,BADE3ÉqÉìÉg2âéﬂ4,BADE3ÉqÉìÉg3âéﬂ1,BADE3ÉqÉìÉg3âéﬂ2,BADE3ÉqÉìÉg3âéﬂ3,BADE3ÉqÉìÉg3âéﬂ4,BADE4ÉqÉìÉg1âéﬂ1,BADE4ÉqÉìÉg1âéﬂ2,BADE4ÉqÉìÉg1âéﬂ3,BADE4ÉqÉìÉg1âéﬂ4,BADE4ÉqÉìÉg2âéﬂ1,BADE4ÉqÉìÉg2âéﬂ2,BADE4ÉqÉìÉg2âéﬂ3,BADE4ÉqÉìÉg2âéﬂ4,BADE4ÉqÉìÉg3âéﬂ1,BADE4ÉqÉìÉg3âéﬂ2,BADE4ÉqÉìÉg3âéﬂ3,BADE4ÉqÉìÉg3âéﬂ4,BADE5ÉqÉìÉg1âéﬂ1,BADE5ÉqÉìÉg1âéﬂ2,BADE5ÉqÉìÉg1âéﬂ3,BADE5ÉqÉìÉg1âéﬂ4,BADE5ÉqÉìÉg2âéﬂ1,BADE5ÉqÉìÉg2âéﬂ2,BADE5ÉqÉìÉg2âéﬂ3,BADE5ÉqÉìÉg2âéﬂ4,BADE5ÉqÉìÉg3âéﬂ1,BADE5ÉqÉìÉg3âéﬂ2,BADE5ÉqÉìÉg3âéﬂ3,BADE5ÉqÉìÉg3âéﬂ4,BADE6ÉqÉìÉg1âéﬂ1,BADE6ÉqÉìÉg1âéﬂ2,BADE6ÉqÉìÉg1âéﬂ3,BADE6ÉqÉìÉg1âéﬂ4,BADE6ÉqÉìÉg2âéﬂ1,BADE6ÉqÉìÉg2âéﬂ2,BADE6ÉqÉìÉg2âéﬂ3,BADE6ÉqÉìÉg2âéﬂ4,BADE6ÉqÉìÉg3âéﬂ1,BADE6ÉqÉìÉg3âéﬂ2,BADE6ÉqÉìÉg3âéﬂ3,BADE6ÉqÉìÉg3âéﬂ4,BADE7ÉqÉìÉg1âéﬂ1,BADE7ÉqÉìÉg1âéﬂ2,BADE7ÉqÉìÉg1âéﬂ3,BADE7ÉqÉìÉg1âéﬂ4,BADE7ÉqÉìÉg2âéﬂ1,BADE7ÉqÉìÉg2âéﬂ2,BADE7ÉqÉìÉg2âéﬂ3,BADE7ÉqÉìÉg2âéﬂ4,BADE7ÉqÉìÉg3âéﬂ1,BADE7ÉqÉìÉg3âéﬂ2,BADE7ÉqÉìÉg3âéﬂ3,BADE7ÉqÉìÉg3âéﬂ4,BADE8ÉqÉìÉg1âéﬂ1,BADE8ÉqÉìÉg1âéﬂ2,BADE8ÉqÉìÉg1âéﬂ3,BADE8ÉqÉìÉg1âéﬂ4,BADE8ÉqÉìÉg2âéﬂ1,BADE8ÉqÉìÉg2âéﬂ2,BADE8ÉqÉìÉg2âéﬂ3,BADE8ÉqÉìÉg2âéﬂ4,BADE8ÉqÉìÉg3âéﬂ1,BADE8ÉqÉìÉg3âéﬂ2,BADE8ÉqÉìÉg3âéﬂ3,BADE8ÉqÉìÉg3âéﬂ4,BADE9ÉqÉìÉg1âéﬂ1,BADE9ÉqÉìÉg1âéﬂ2,BADE9ÉqÉìÉg1âéﬂ3,BADE9ÉqÉìÉg1âéﬂ4,BADE9ÉqÉìÉg2âéﬂ1,BADE9ÉqÉìÉg2âéﬂ2,BADE9ÉqÉìÉg2âéﬂ3,BADE9ÉqÉìÉg2âéﬂ4,BADE9ÉqÉìÉg3âéﬂ1,BADE9ÉqÉìÉg3âéﬂ2,BADE9ÉqÉìÉg3âéﬂ3,BADE9ÉqÉìÉg3âéﬂ4,BADE10ÉqÉìÉg1âéﬂ1,BADE10ÉqÉìÉg1âéﬂ2,BADE10ÉqÉìÉg1âéﬂ3,BADE10ÉqÉìÉg1âéﬂ4,BADE10ÉqÉìÉg2âéﬂ1,BADE10ÉqÉìÉg2âéﬂ2,BADE10ÉqÉìÉg2âéﬂ3,BADE10ÉqÉìÉg2âéﬂ4,BADE10ÉqÉìÉg3âéﬂ1,BADE10ÉqÉìÉg3âéﬂ2,BADE10ÉqÉìÉg3âéﬂ3,BADE10ÉqÉìÉg3âéﬂ4,BADE11ÉqÉìÉg1âéﬂ1,BADE11ÉqÉìÉg1âéﬂ2,BADE11ÉqÉìÉg1âéﬂ3,BADE11ÉqÉìÉg1âéﬂ4,BADE11ÉqÉìÉg2âéﬂ1,BADE11ÉqÉìÉg2âéﬂ2,BADE11ÉqÉìÉg2âéﬂ3,BADE11ÉqÉìÉg2âéﬂ4,BADE11ÉqÉìÉg3âéﬂ1,BADE11ÉqÉìÉg3âéﬂ2,BADE11ÉqÉìÉg3âéﬂ3,BADE11ÉqÉìÉg3âéﬂ4,BADE12ÉqÉìÉg1âéﬂ1,BADE12ÉqÉìÉg1âéﬂ2,BADE12ÉqÉìÉg1âéﬂ3,BADE12ÉqÉìÉg1âéﬂ4,BADE12ÉqÉìÉg2âéﬂ1,BADE12ÉqÉìÉg2âéﬂ2,BADE12ÉqÉìÉg2âéﬂ3,BADE12ÉqÉìÉg2âéﬂ4,BADE12ÉqÉìÉg3âéﬂ1,BADE12ÉqÉìÉg3âéﬂ2,BADE12ÉqÉìÉg3âéﬂ3,BADE12ÉqÉìÉg3âéﬂ4,ã^éóâ»äwêMïÚé⁄ìx1,ã^éóâ»äwêMïÚé⁄ìx2,ã^éóâ»äwêMïÚé⁄ìx3,ã^éóâ»äwêMïÚé⁄ìx4,ã^éóâ»äwêMïÚé⁄ìx5,ã^éóâ»äwêMïÚé⁄ìx6,ã^éóâ»äwêMïÚé⁄ìx7,ã^éóâ»äwêMïÚé⁄ìx8,ã^éóâ»äwêMïÚé⁄ìx9,ã^éóâ»äwêMïÚé⁄ìx10,ã^éóâ»äwêMïÚé⁄ìx11,ã^éóâ»äwêMïÚé⁄ìx12,ã^éóâ»äwêMïÚé⁄ìx13,ã^éóâ»äwêMïÚé⁄ìx14,ã^éóâ»äwêMïÚé⁄ìx15,ã^éóâ»äwêMïÚé⁄ìx16,ã^éóâ»äwêMïÚé⁄ìx17,ã^éóâ»äwêMïÚé⁄ìx18,ã^éóâ»äwêMïÚé⁄ìx19,CMQ-J1,CMQ-J2,CMQ-J3,CMQ-J4,CMQ-J5,â»äwìIêÑò_î\óÕ1,â»äwìIêÑò_î\óÕ2,â»äwìIêÑò_î\óÕ3,â»äwìIêÑò_î\óÕ4,â»äwìIêÑò_î\óÕ5,â»äwìIêÑò_î\óÕ6,â»äwìIêÑò_î\óÕ7,â»äwìIêÑò_î\óÕ8,â»äwìIêÑò_î\óÕ9,â»äwìIêÑò_î\óÕ10,â»äwìIêÑò_î\óÕ11,â»äwìIêÑò_î\óÕ12,îÌäQñœëz1,îÌäQñœëz2,îÌäQñœëz3,îÌäQñœëz4,îÌäQñœëz5,îÌäQñœëz6,îÌäQñœëz7,îÌäQñœëz8,îÌäQñœëz9,îÌäQñœëz10,îÌäQñœëz11,îÌäQñœëz12,îÌäQñœëz13,îÌäQñœëz14,îÌäQñœëz15,îÌäQñœëz16,îÌäQñœëz17,îÌäQñœëz18,CRT1,CRT2,CRT3
2024/6/26 2:06,2024/6/26 2:50,0,100,2656,1,2024/6/26 2:50,R_4xIUy2tkSIsJNkD,anonymous,JA,1,44,1,1,380,380,7,3,2,6,8.5,7,3,5,2,3,0,7,8,5,0,8,8,3,0,10,4.5,2,0,10,5,5,6,10,1,6,0.5,10,2,0,4,5,7,5,3,5,10,5,5,9,0,0,3,10,10,7,5,9,10,7,5,9,5,3,3,10,9,9,3,7,1,0,0,10,0,0,0,10,6,2.5,5,1,5,1,3,7,5,0,0,10,8,5,2,5,8,6,2,9,7,7,5,10,10,7,3,10,10,5,0,10,10,5,0,10,7,7,7,7,4,5,4,9,0,0,0,10,10,3,3,5,8,1,1,8,5,3,0.5,8,8,5,8,7,5,5,7,9,0,0,7,10,10,10,8,8,10,8,8,10,10,3,5,10,5,5,3,3,5,1,1,3,2,1,2,5,4,4,5,3,1,2,1,10,11,4,2,2,2,2,2,2,2,2,1,2,2,1,1,2,3,5,4,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,10,5,14
2024/6/26 3:19,2024/6/26 3:44,0,100,1522,1,2024/6/26 3:44,R_46eYjDyNMeMqLTc,anonymous,JA,1,40,2,4,185,185,7.5,7,7,5.5,8,8.5,7,6.5,2.5,8.5,7,7,8,6,4,6.5,7.5,5,4,8.5,5.5,6,5,9.5,6.5,5.5,8,7,6.5,7,4.5,7.5,8,2,5,8.5,6.5,5.5,4.5,5.5,7,4,3.5,7.5,0.5,0.5,4.5,10,9,8.5,2.5,8.5,8,8.5,2.5,8.5,5.5,0.5,1,10,8,8,3.5,7.5,2,5.5,2,9.5,1,1,2,10,8.5,6.5,2.5,8,9,2.5,2.5,9,1.5,0,0.5,10,9,7,1.5,7.5,9,7,1.5,9,7,7,1.5,9.5,8,6,5.5,7.5,8,2.5,5,8,5.5,2.5,5,9.5,8,8,7,7,6.5,8.5,6.5,9,0.5,0.5,0,10,8,6.5,7.5,8,8,6,6.5,8.5,7.5,0,6.5,9,8.5,8,6.5,9,8.5,8,6.5,9.5,0.5,8,5,10,6.5,8.5,4.5,5.5,5.5,8.5,4.5,5.5,7,6.5,4.5,8.5,4,4,2,3,2,4,4,1,1,4,1,3,4,2,1,2,2,3,1,5,7,3,4,4,1,2,1,2,2,2,1,2,1,2,2,2,2,3,5,5,5,4,4,5,4,5,5,5,5,5,4,5,5,5,50,5,47
2024/6/26 1:57,2024/6/26 2:30,0,100,1997,1,2024/6/26 2:30,R_4ZnU6kU3MzDaIDL,anonymous,JA,1,47,1,4,360,700,7.5,4,5,2,7,5.5,5,4,2,1,5,8,6,6.5,3,7.5,7,4.5,2,8,2,2,1.5,8.5,7.5,3,7,8,2.5,7.5,2,6.5,5.5,1.5,2,7.5,8,2,4.5,7.5,8.5,1.5,3.5,8,2.5,1,3,9.5,8,6,1.5,6.5,6.5,5.5,1.5,8,5,2.5,1,8.5,7.5,8,5.5,6.5,6.5,2,5,8.5,1.5,1,5,9.5,5.5,5,2.5,7.5,4,1.5,2,8,2,1.5,1.5,8.5,8,6,2,7,7,1.5,1.5,7.5,4.5,1,1,9,7,5.5,3.5,8,7.5,3,4,8.5,8,1.5,3,9.5,8,7.5,2.5,4,7.5,5.5,4.5,6.5,1.5,3.5,1.5,9,6,5.5,3.5,4,6.5,2.5,2,7,5,1.5,2,8,7.5,4,5.5,7,6,5,5,6.5,1.5,1.5,2,8,7.5,7.5,6,6,7.5,7.5,6.5,8,6,6,2,9,3,2,2,2,4,3,4,2,1,4,2,1,1,3,2,3,3,3,2,7,9,6,6,8,1,2,1,2,2,2,1,2,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,5,47
2024/6/26 2:12,2024/6/26 2:31,0,100,1171,1,2024/6/26 2:31,R_4OUNbiWbdVa8qrw,anonymous,JA,1,35,2,4,260,560,8,4.5,0,4.5,8,6,0,6,4.5,1,2.5,0.5,7,2,1,6.5,8.5,1,1,9.5,6,1,0.5,10,7,5,6.5,7,3,7.5,4.5,7,4,0,6.5,1,9,5,6.5,7,8.5,3.5,5,9,0,0,1,10,8.5,7,6.5,8,8,7,6.5,8.5,1.5,0,0,10,7,7,3.5,7,5.5,0,3.5,9,0,0,0,10,7.5,7.5,6,7.5,7,5,5,7.5,5.5,0,0,9,5.5,5,1.5,5.5,5,5,1.5,7.5,1,2,1.5,8.5,6.5,6.5,3,6.5,6.5,6.5,2,7.5,6.5,3.5,2,9.5,7.5,7.5,7.5,7.5,4.5,4,4,7.5,1,1,1,10,7,7,7,7.5,7,6,7,8.5,6.5,0.5,4.5,8.5,7,6.5,7,7.5,8,5,8,8.5,8.5,2,5,9.5,6.5,6,6,5,7.5,7,7.5,6,9,7,1,9,2,4,4,4,5,4,2,4,3,3,3,4,4,3,4,4,4,3,3,7,8,4,4,6,1,2,1,2,2,2,1,2,1,2,1,1,3,3,3,5,4,4,4,3,3,3,3,5,5,5,4,4,5,4,100,5,47
2024/6/26 2:01,2024/6/26 2:27,0,100,1558,1,2024/6/26 2:27,R_4ya1rthqv1QMxmc,anonymous,JA,1,43,1,4,280,280,8.5,7.5,4.5,5.5,8.5,8.5,6,7.5,4.5,3.5,3.5,9,7.5,6.5,3,7,6.5,5.5,1.5,9,1.5,4,0.5,10,7.5,6.5,5.5,8,2,8.5,3,5.5,4,1.5,1.5,7,8,2,3.5,7,9,1,2.5,7.5,0.5,0,0,10,8,6.5,6,7,7,5.5,4.5,8,2,0,0,10,8.5,8,2,6.5,2,1.5,1,8,0,0,0.5,10,6.5,3,2.5,6,4,0,1.5,8,0.5,0,0,10,7.5,3.5,2,3.5,8.5,5.5,1,4.5,4,5,0,8,8.5,5.5,3.5,7.5,8,4,2.5,9,6.5,1,2,10,6.5,7,4,7,4.5,6.5,2.5,6.5,0,1,0,9.5,6.5,5.5,6,7.5,7.5,3.5,4,8,4,1,2,9,6.5,3.5,5.5,7,7,3,6,8,3.5,1,3,9.5,8,7,4.5,5.5,8.5,7.5,4,7,7.5,4.5,1,10,4,5,4,2,4,2,3,2,2,2,4,4,4,2,4,4,2,4,3,7,7,4,6,5,2,2,1,2,2,2,1,2,1,2,2,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,50,5,47
2024/6/26 2:03,2024/6/26 2:40,0,100,2229,1,2024/6/26 2:40,R_43cnfWW0CCD6Sbf,anonymous,JA,1,37,1,4,200,300,5.5,1,2,0.5,5.5,5.5,2,6,2,1.5,2.5,7.5,7.5,7,1,8.5,4.5,3,0.5,9.5,0,1,0.5,10,8,8,7.5,8,0.5,9,0.5,6.5,4.5,3.5,0.5,8.5,7,1,2.5,3.5,8.5,0.5,0.5,3.5,0,0,1,10,7,6.5,4.5,6,6,6,4,6.5,1,0,0,10,7.5,7,3,7.5,3.5,0,0.5,8.5,0,0,0.5,10,3,0.5,0.5,7.5,0.5,0,0.5,7.5,0.5,0,0,10,6,7,0.5,3,3,4,0.5,8.5,0.5,0.5,0.5,9.5,5.5,6,0.5,5.5,6.5,1.5,0.5,7.5,4,1.5,0,9.5,6.5,7,1,5.5,6,7,0.5,5.5,0.5,0,0,9.5,4.5,1.5,0.5,5,4.5,1,0.5,5.5,0,0,0,8.5,3.5,2,1,4,1.5,2,1,4,0,0.5,1,9.5,5,5.5,2.5,2.5,4.5,5,4,2.5,2.5,0.5,1,9.5,4,4,2,3,4,3,3,3,2,2,2,3,3,4,3,3,2,4,4,7,7,5,5,5,1,1,1,2,2,2,1,2,1,2,1,2,3,4,5,5,5,4,4,5,4,5,5,5,5,5,4,5,5,5,50,5,47
2024/6/26 2:47,2024/6/26 3:15,0,100,1707,1,2024/6/26 3:15,R_4b1sYQqkxGaLHfg,anonymous,JA,1,28,1,4,110,110,7.5,6,5,4,8,7.5,5,5,8,7.5,5,5.5,5.5,6,4,6,4.5,6.5,4,7.5,4.5,7,4,8.5,7,5.5,7,7,6.5,6,7,7.5,6.5,4,7,7,6.5,5,5.5,6.5,7,5,5.5,7,6,2,6,10,6.5,6.5,5.5,6.5,6.5,6.5,5.5,7,6.5,6.5,5.5,8,6,6,6,6,4.5,4,6,7,3.5,3,5,10,6,5,5,5,6.5,5,5,5,7,5,5,7,6.5,6.5,4,5,6.5,6.5,4,7,6.5,6.5,4,8,6.5,5,5,6.5,7.5,5,5,7.5,8,5,5,9,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.5,6.5,6.5,6.5,9,6.5,6.5,5.5,6.5,7,7,5.5,7,6,4.5,5.5,7.5,6.5,5.5,6.5,6,6.5,5.5,6.5,6,6.5,5.5,6.5,8,6.5,7,6,6.5,6.5,7,4,6.5,7,7,6.5,8.5,4,4,3,3,4,3,3,3,3,3,3,4,2,4,2,4,2,1,1,8,10,7,7,8,2,1,1,2,2,2,1,2,2,2,1,2,1,2,3,4,3,2,2,3,3,4,4,4,4,5,3,3,5,4,50,5,47
2024/6/26 3:19,2024/6/26 3:50,0,100,1908,1,2024/6/26 3:51,R_4IQTCitjGgBpqT2,anonymous,JA,1,48,1,3,420,480,8.5,6,3.5,6.5,7,7,4,7.5,1,1.5,3,9,7,6,2,8.5,7.5,3.5,1,9,2,2.5,0.5,9.5,7,4,7,8,4,6,3,8,4.5,1,1.5,7.5,8,1,5,6.5,8,1,4,7.5,1,0.5,2,9.5,8.5,7,4,6.5,8.5,6.5,4,7.5,3,1,3,9,7.5,6,3,6,3,2,2,8,1,0.5,2,9.5,5.5,3,1.5,6.5,2.5,2,1.5,7.5,2,1,1.5,8.5,6,6,2,5.5,6.5,6.5,2,7.5,2,3,1,8.5,8,6.5,3.5,6.5,8,4.5,2,7.5,7,2,1,8.5,7.5,8.5,4,6,7,8,2.5,6,3,2,1,9,6.5,7.5,1.5,6.5,7,7.5,1,7,2.5,6.5,0.5,7.5,6,3.5,5.5,4.5,7,2.5,6,6,2,1,2,8.5,7,8,3,6.5,6.5,8,4,6.5,6.5,6,2,8.5,3,3,2,2,4,2,3,1,2,1,2,4,2,4,4,2,4,2,1,7,8,3,5,4,2,2,1,2,2,2,2,2,1,2,1,2,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,100,5,47
2024/6/26 4:37,2024/6/26 5:17,0,100,2348,1,2024/6/26 5:17,R_4zzmqRTFkeFIhyx,anonymous,JA,1,37,2,2,95,95,5,0,0,5,6,6,5,6,7.5,0.5,6.5,8.5,6.5,5,5,6.5,5,5,5,9.5,5,5,5,10,5,5,7,7,0,7.5,0,5,0,0,8,7,6.5,5,5,5,6.5,0,0,6.5,0,0,0,10,6,6,0,6,5,5,0,6,0,0,0,10,6,6,5,6,5,0,5,7.5,0,0,5,10,0,5,0,5,0,5,0,5,0,0,0,10,5,0,0,5,6,0,0,5,0,0,0,10,6.5,6.5,0,6.5,6.5,0,0,10,5,0,0,10,6,6,5,5,5,5,5,5,0,0,0,10,7,0,5,5,7.5,0,5,5,5,0,0,7,5,0,5,5,6,0,6,7,0,0,0,10,8.5,8.5,0,5,8.5,6,4,6,8.5,0,0,10,3,3,3,3,3,1,3,3,1,3,3,3,3,4,4,3,3,3,3,10,8,6,6,6,1,2,2,2,2,1,1,2,1,2,1,2,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,100,5,24
2024/6/26 1:56,2024/6/26 2:28,0,100,1931,1,2024/6/26 2:28,R_4dDP0W52g4NmzPa,anonymous,JA,1,47,1,4,400,800,2.5,2.5,0.5,0.5,4,3,0.5,3,2,1.5,5.5,5.5,5.5,3,0,5.5,6.5,3,0,7,3,3,0,8,6.5,1,5.5,5.5,2,6,0.5,8,2,0,0.5,5.5,8,0,1,4,8.5,0.5,1.5,5.5,0,0,0,10,8,6,1,8,6.5,6.5,0.5,8.5,1,0.5,0,9.5,5,6,5,7,1,2,3,9,1,0,1,10,0.5,0.5,0.5,8,0,0.5,0,9,0,0,0,9.5,9,7,1,6,9,1,0.5,9,2,1,0.5,9.5,7,6,5,8,8,2,2,9,3,0.5,3,10,8,7,2,7,6.5,5,1.5,8.5,0,1,0,10,8,5,1,5,5,1,1,9,5,0,0.5,9,8,1,6,8,5,1,5,7,0,0,0.5,9,8,6,5,5,6,2,4,8,3,0.5,0.5,10,2,4,3,2,4,3,5,1,1,4,2,2,3,4,3,4,4,3,3,8,7,5,7,7,1,2,1,2,2,2,1,2,2,2,1,2,3,4,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,50,5,47
