äJénì˙,èIóπì˙,âÒìöÉ^ÉCÉv,êiçsèÛãµ,éûä‘ÅiïbíPà Åj,èIóπ,ãLò^ì˙,âÒìöID,îzêMÇÃÉ`ÉÉÉìÉlÉã,ÉÜÅ[ÉUÅ[ÇÃåæåÍ,ìØà”ÇÃóLñ≥,îNóÓ,ê´ï ,äwó,îNé˚,BADEó˚èK1_NL,BADEó˚èK1_EL,BADEó˚èK1_Ab,BADEó˚èK1_Tr,BADEó˚èK2_NL,BADEó˚èK2_EL,BADEó˚èK2_Ab,BADEó˚èK2_Tr,BADEó˚èK3_NL,BADEó˚èK3_EL,BADEó˚èK3_Ab,BADEó˚èK3_Tr,BADE1_NL1,BADE1_EL1,BADE1_Ab1,BADE1_Tr1,BADE1_NL2,BADE1_EL2,BADE1_Ab2,BADE1_Tr2,BADE1_NL3,BADE1_EL3,BADE1_Ab3,BADE1_Tr3,BADE2_NL1,BADE2_EL1,BADE2_Ab1,BADE2_Tr1,BADE2_NL2,BADE2_EL2,BADE2_Ab2,BADE2_Tr2,BADE2_NL3,BADE2_EL3,BADE2_Ab3,BADE2_Tr3,BADE3_NL1,BADE3_EL1,BADE3_Ab1,BADE3_Tr1,BADE3_NL2,BADE3_EL2,BADE3_Ab2,BADE3_Tr2,BADE3_NL3,BADE3_EL3,BADE3_Ab3,BADE3_Tr3,BADE4_NL1,BADE4_EL1,BADE4_Ab1,BADE4_Tr1,BADE4_NL2,BADE4_EL2,BADE4_Ab2,BADE4_Tr2,BADE4_NL3,BADE4_EL3,BADE4_Ab3,BADE4_Tr3,BADE5_NL1,BADE5_EL1,BADE5_Ab1,BADE5_Tr1,BADE5_NL2,BADE5_EL2,BADE5_Ab2,BADE5_Tr2,BADE5_NL3,BADE5_EL3,BADE5_Ab3,BADE5_Tr3,BADE6_NL1,BADE6_EL1,BADE6_Ab1,BADE6_Tr1,BADE6_NL2,BADE6_EL2,BADE6_Ab2,BADE6_Tr2,BADE6_NL3,BADE6_EL3,BADE6_Ab3,BADE6_Tr3,BADE7_NL1,BADE7_EL1,BADE7_Ab1,BADE7_Tr1,BADE7_NL2,BADE7_EL2,BADE7_Ab2,BADE7_Tr2,BADE7_NL3,BADE7_EL3,BADE7_Ab3,BADE7_Tr3,BADE8_NL1,BADE8_EL1,BADE8_Ab1,BADE8_Tr1,BADE8_NL2,BADE8_EL2,BADE8_Ab2,BADE8_Tr2,BADE8_NL3,BADE8_EL3,BADE8_Ab3,BADE8_Tr3,BADE9_NL1,BADE9_EL1,BADE9_Ab1,BADE9_Tr1,BADE9_NL2,BADE9_EL2,BADE9_Ab2,BADE9_Tr2,BADE9_NL3,BADE9_EL3,BADE9_Ab3,BADE9_Tr3,BADE10_NL1,BADE10_EL1,BADE10_Ab1,BADE10_Tr1,BADE10_NL2,BADE10_EL2,BADE10_Ab2,BADE10_Tr2,BADE10_NL3,BADE10_EL3,BADE10_Ab3,BADE10_Tr3,BADE11_NL1,BADE11_EL1,BADE11_Ab1,BADE11_Tr1,BADE11_NL2,BADE11_EL2,BADE11_Ab2,BADE11_Tr2,BADE11_NL3,BADE11_EL3,BADE11_Ab3,BADE11_Tr3,BADE12_NL1,BADE12_EL1,BADE12_Ab1,BADE12_Tr1,BADE12_NL2,BADE12_EL2,BADE12_Ab2,BADE12_Tr2,BADE12_NL3,BADE12_EL3,BADE12_Ab3,BADE12_Tr3,ä¥èÓî≈ó˚èK_NL1,ä¥èÓî≈ó˚èK_EL1,ä¥èÓî≈ó˚èK_Ab1,ä¥èÓî≈ó˚èK_Tr1,ä¥èÓî≈ó˚èK_NL2,ä¥èÓî≈ó˚èK_EL2,ä¥èÓî≈ó˚èK_Ab2,ä¥èÓî≈ó˚èK_Tr2,ä¥èÓî≈ó˚èK_NL3,ä¥èÓî≈ó˚èK_EL3,ä¥èÓî≈ó˚èK_Ab3,ä¥èÓî≈ó˚èK_Tr3,ä¥èÓî≈1_Ab1,ä¥èÓî≈1_NL1,ä¥èÓî≈1_EL1,ä¥èÓî≈1_Tr1,ä¥èÓî≈1_Ab2,ä¥èÓî≈1_NL2,ä¥èÓî≈1_EL2,ä¥èÓî≈1_Tr2,ä¥èÓî≈1_Ab3,ä¥èÓî≈1_NL3,ä¥èÓî≈1_EL3,ä¥èÓî≈1_Tr3,ä¥èÓî≈2_Ab1,ä¥èÓî≈2_NL1,ä¥èÓî≈2_EL1,ä¥èÓî≈2_Tr1,ä¥èÓî≈2_Ab2,ä¥èÓî≈2_NL2,ä¥èÓî≈2_EL2,ä¥èÓî≈2_Tr2,ä¥èÓî≈2_Ab3,ä¥èÓî≈2_NL3,ä¥èÓî≈2_EL3,ä¥èÓî≈2_Tr3,ä¥èÓî≈3_Ab1,ä¥èÓî≈3_NL1,ä¥èÓî≈3_EL1,ä¥èÓî≈3_Tr1,ä¥èÓî≈3_Ab2,ä¥èÓî≈3_NL2,ä¥èÓî≈3_EL2,ä¥èÓî≈3_Tr2,ä¥èÓî≈3_Ab3,ä¥èÓî≈3_NL3,ä¥èÓî≈3_EL3,ä¥èÓî≈3_Tr3,ä¥èÓî≈4_Ab1,ä¥èÓî≈4_NL1,ä¥èÓî≈4_EL1,ä¥èÓî≈4_Tr1,ä¥èÓî≈4_Ab2,ä¥èÓî≈4_NL2,ä¥èÓî≈4_EL2,ä¥èÓî≈4_Tr2,ä¥èÓî≈4_Ab3,ä¥èÓî≈4_NL3,ä¥èÓî≈4_EL3,ä¥èÓî≈4_Tr3,ä¥èÓî≈5_Ab1,ä¥èÓî≈5_NL1,ä¥èÓî≈5_EL1,ä¥èÓî≈5_Tr1,ä¥èÓî≈5_Ab2,ä¥èÓî≈5_NL2,ä¥èÓî≈5_EL2,ä¥èÓî≈5_Tr2,ä¥èÓî≈5_Ab3,ä¥èÓî≈5_NL3,ä¥èÓî≈5_EL3,ä¥èÓî≈5_Tr3,ä¥èÓî≈6_Ab1,ä¥èÓî≈6_NL1,ä¥èÓî≈6_EL1,ä¥èÓî≈6_Tr1,ä¥èÓî≈6_Ab2,ä¥èÓî≈6_NL2,ä¥èÓî≈6_EL2,ä¥èÓî≈6_Tr2,ä¥èÓî≈6_Ab3,ä¥èÓî≈6_NL3,ä¥èÓî≈6_EL3,ä¥èÓî≈6_Tr3,ä¥èÓî≈7_Ab1,ä¥èÓî≈7_NL1,ä¥èÓî≈7_EL1,ä¥èÓî≈7_Tr1,ä¥èÓî≈7_Ab2,ä¥èÓî≈7_NL2,ä¥èÓî≈7_EL2,ä¥èÓî≈7_Tr2,ä¥èÓî≈7_Ab3,ä¥èÓî≈7_NL3,ä¥èÓî≈7_EL3,ä¥èÓî≈7_Tr3,ä¥èÓî≈8_Ab1,ä¥èÓî≈8_NL1,ä¥èÓî≈8_EL1,ä¥èÓî≈8_Tr1,ä¥èÓî≈8_Ab2,ä¥èÓî≈8_NL2,ä¥èÓî≈8_EL2,ä¥èÓî≈8_Tr2,ä¥èÓî≈8_Ab3,ä¥èÓî≈8_NL3,ä¥èÓî≈8_EL3,ä¥èÓî≈8_Tr3,ä¥èÓî≈9_Ab1,ä¥èÓî≈9_NL1,ä¥èÓî≈9_EL1,ä¥èÓî≈9_Tr1,ä¥èÓî≈9_Ab2,ä¥èÓî≈9_NL2,ä¥èÓî≈9_EL2,ä¥èÓî≈9_Tr2,ä¥èÓî≈9_Ab3,ä¥èÓî≈9_NL3,ä¥èÓî≈9_EL3,ä¥èÓî≈9_Tr3,ä¥èÓî≈10_Ab1,ä¥èÓî≈10_NL1,ä¥èÓî≈10_EL1,ä¥èÓî≈10_Tr1,ä¥èÓî≈10_Ab2,ä¥èÓî≈10_NL2,ä¥èÓî≈10_EL2,ä¥èÓî≈10_Tr2,ä¥èÓî≈10_Ab3,ä¥èÓî≈10_NL3,ä¥èÓî≈10_EL3,ä¥èÓî≈10_Tr3,âAñdò_êSê´_1,âAñdò_êSê´_2,âAñdò_êSê´_3,âAñdò_êSê´_4,âAñdò_êSê´_5,COVID-19_1,COVID-19_2,COVID-19_3,COVID-19_4,COVID-19_5,COVID-19_6,ã^éóâ»äw_1,ã^éóâ»äw_2,ã^éóâ»äw_3,ã^éóâ»äw_4,ã^éóâ»äw_5,ã^éóâ»äw_6,ã^éóâ»äw_7,ã^éóâ»äw_8,ã^éóâ»äw_9,ã^éóâ»äw_10,ã^éóâ»äw_11,ã^éóâ»äw_12,ã^éóâ»äw_13,ã^éóâ»äw_14,ã^éóâ»äw_15,ã^éóâ»äw_16,ã^éóâ»äw_17,ã^éóâ»äw_18,ã^éóâ»äw_19,â»äwìIêÑò__1,â»äwìIêÑò__2,â»äwìIêÑò__3,â»äwìIêÑò__4,â»äwìIêÑò__5,â»äwìIêÑò__6,â»äwìIêÑò__7,â»äwìIêÑò__8,â»äwìIêÑò__9,â»äwìIêÑò__10,â»äwìIêÑò__11,â»äwìIêÑò__12,îÌäQñœëz_1,îÌäQñœëz_2,îÌäQñœëz_3,îÌäQñœëz_4,îÌäQñœëz_5,îÌäQñœëz_6,îÌäQñœëz_7,îÌäQñœëz_8,îÌäQñœëz_9,îÌäQñœëz_10,îÌäQñœëz_11,îÌäQñœëz_12,îÌäQñœëz_13,îÌäQñœëz_14,îÌäQñœëz_15,îÌäQñœëz_16,îÌäQñœëz_17,îÌäQñœëz_18,CRT_1,CRT_2,CRT_3,BADE,ä¥èÓî≈BADE,,,,,,,,,,,,,,,,,,,,
2025/2/18 18:36,2025/2/18 19:13,0,100,2196,1,2025/2/18 19:13,R_4Io6zVJcPLNdAel,anonymous,JA,1,19,2,4,200,6,5,5,5,6.5,6,5.5,5.5,6.5,6,5.5,6,8,5,1,8,7,5,1,9,0.5,5,1,10,7,6.5,5.5,8.5,4,9,4,7,3.5,1,5,7,7,5,3,5.5,8,4,0.5,6,0,0.5,0.5,10,9.5,8,1,8,9.5,8,1,8,3,0.5,0.5,10,6.5,5.5,4.5,6,6,4.5,4,7.5,0,0,5,10,7,5,2,5,4,4.5,3,5,2.5,2.5,1.5,10,7,5,0,5,8,5.5,0,5.5,7,5,0,8,6,6,5,6,7,5,5,9,7,3,5,9.5,8.5,8.5,5,6,8,8,5,6,0.5,0.5,0.5,9.5,7.5,5,6.5,9,7.5,5,6.5,9.5,7.5,2,5,9.5,6.5,5,5.5,7.5,6.5,5,5.5,7.5,6.5,5,5.5,9.5,7.5,7.5,5,6,7.5,7.5,5,6,5.5,5.5,5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,5,6,7,4,5,5,5,5,5,2,4,4,2,4,4,2,2,1,2,2,3,4,2,3,2,2,3,3,2,1,1,2,2,1,1,2,1,2,1,2,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,100,1,24,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 19:45,2025/2/18 20:18,0,100,1971,1,2025/2/18 20:18,R_9HjA63A3ELeGlHE,anonymous,JA,1,13,2,4,350,7,6,0,0,7,6,0,0,0,0,2,0,8,8,0,8,9,0,0,10,0,0,0,10,7,6.5,5.5,8,0,8.5,0,8,0,0,0,0,7,3,5.5,6.5,4,5.5,5,8,0,0,0,10,9,9,4,8,9,9,4,8,0,0,0,10,7.5,8,6,6.5,1.5,0,5,7.5,0,0,0,10,5.5,0,0,6.5,6,0,0,6.5,6,0,0,10,9,8.5,0,6.5,5.5,7,0,9,2,0,0,10,6.5,7.5,0,7.5,7.5,5,0,7.5,6,0,0,10,8.5,7.5,1.5,6.5,1.5,1,0,6.5,0,0,0,10,8.5,8,5,7,8.5,0,3,7,8,0,0,10,8,4.5,8,6,8,0,8,6,0,0,0,10,5,7.5,5,5,5,7.5,5,6.5,7,6.5,2,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,4,8,8,4,6,7,6,5,6,4,4,4,4,2,4,3,4,1,1,3,1,2,1,3,2,2,1,1,2,1,2,2,2,2,1,2,1,2,1,1,2,4,3,5,3,3,3,3,3,3,4,3,4,5,3,3,5,5,100,5,47,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 18:32,2025/2/18 19:10,0,100,2263,1,2025/2/18 19:10,R_4QEbyj4EwNcHOUs,anonymous,JA,1,24,2,4,620,6.5,2,5,2,4.5,7.5,6.5,7.5,0.5,0.5,6.5,5,9,3,1,9,9,3,1,10,6.5,3,1,10,7.5,7.5,5,9.5,2.5,9.5,1.5,6,2,5,1.5,8.5,7,5,3,8,7,5,3,8,0,0,0,10,10,10,5,10,9,5,7,9,1,0,1,10,9.5,9.5,3.5,7.5,9.5,5,3.5,9.5,0,0,1,10,4,3,4,5,3,3,4,5,1,1,1,8.5,9,6,1.5,4,9,9,1.5,5,6.5,9,1.5,9.5,10,8,0,8,5,1.5,5,8,5,5,0,9,9,8,7.5,5,3,5,3,6,1.5,5,1.5,10,7.5,5,8.5,8.5,9,5,9,9,9,0.5,2,9,9,5,5,7,9,5,5,9,9,2.5,2.5,10,5.5,10,5,5,5.5,9,5,5,7,7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,6,7,10,4,7,2,3,5,6,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,3,3,5,5,1,2,2,2,2,1,2,2,1,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,100,20,24,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 18:36,2025/2/18 19:34,0,100,3486,1,2025/2/18 19:34,R_4r7YkuZiXROlDNt,anonymous,JA,1,38,1,4,200,5.5,5,5,5.5,5.5,7,6,7.5,3,6.5,6,7.5,7.5,4,4.5,7,8,5,4.5,8.5,6.5,6,4,7.5,8,7.5,7,8,2.5,8.5,2,8,3,5.5,1,8.5,7,3.5,3.5,6,7,4,4,6.5,0.5,1,0.5,9,8,7.5,4,8,7,6.5,4,8.5,3.5,1.5,1.5,9.5,7.5,7.5,4,7.5,4,3,3.5,8,1,1,2,9.5,6,5.5,5,6,6.5,4.5,5,6.5,6.5,0.5,1,9.5,7,5.5,2.5,6.5,6.5,6,3,8,6,6,3,7,7.5,6,5,6.5,7.5,6,5,9,7.5,6,5,9.5,7.5,7.5,5.5,7.5,7.5,7,5.5,8,2,2,1.5,8.5,5,5,5,5,5.5,5.5,5,5.5,3,1.5,4,6.5,6.5,4.5,5,6.5,6.5,4,5,7,1,2,0.5,9,7,7,5.5,6.5,6.5,6.5,5.5,6.5,6,5.5,1.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,3,7,7,1,5,5,6,2,1,3,4,1,1,4,2,5,4,4,1,1,3,4,2,1,4,3,1,1,2,2,1,2,2,2,1,2,1,2,2,1,3,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,50,5,47,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 18:37,2025/2/18 19:27,0,100,2970,1,2025/2/18 19:27,R_95NEH8uExVAh9Pr,anonymous,JA,1,52,1,4,300,5,4,2,5,4,7,2,7,1.5,4,1.5,8,6,4,4,6,7,5,3,8,6,3,2,9,6,6,4,6,3,6,2,6,2,2,2,7,7,4,4,7,7,3,3.5,8,2,2,2,9,6,6,4,6,7,7,3,7,2,2,1,9,6,7,3,4,4,4,4,8,2,2,4,9,4,5,5,6,3,5,5,6,3,2,3,8,5,5,5,5,7,6,3,7,6,5,2,8,7,6,3,6,6,6,2,8,6,6,2,8.5,6,6,6,6,5,6,5,6,2,6,2,9,6,5,4,6,8,3,4,5,8.5,1,3,4,7,4,5,7,6,3,5,5,4,2,2,8,7,6,4,5,7,7,4,4,6,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,8,7,4,5,3,5,5,5,2,3,2,3,3,3,2,3,2,2,3,3,3,3,2,4,5,3,3,1,2,1,2,1,1,2,2,1,1,1,1,4,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,50,1,2,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 20:03,2025/2/18 20:53,0,100,2954,1,2025/2/18 20:53,R_45gkYEObDAf93cR,anonymous,JA,1,21,2,2,40,8,1,2.5,1.5,7.5,4.5,3,4.5,3.5,2,2.5,7.5,9,4,1,8,9,3,1,9.5,2,1,1,10,9,7,9,9,2,8,2,9,1,0.5,1,9.5,8,2,6,7,7.5,1,4,8,0,0,0.5,10,9,9,3,9,8,9,2,9,3,2.5,0.5,10,8,8,2,8,7,0,2,9.5,0,0,2,10,8,5,2,5,8.5,5,2,5,5,4,1,9,8,7,1,5,7.5,7.5,1,8,0.5,2,1,9.5,7,7,2,8,8.5,7,1,9,7,7,1,10,8,9,8,8,7,8.5,7,9,0,0,0,10,9,7,5,9,9,7,3,8,1,6,1,9.5,7.5,8,7.5,7.5,6.5,6.5,7.5,8,1,4,3,10,9,9,7,5,9,9,8,5,8,6.5,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,6,8,9,4,5,4,6,4,5,3,3,2,3,3,2,4,4,2,4,2,2,2,3,2,3,2,3,3,2,2,1,2,1,2,1,2,1,2,1,2,2,4,5,4,5,4,4,4,4,4,4,5,5,5,4,5,5,5,50,5,47,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 18:34,2025/2/18 19:26,0,100,3101,1,2025/2/18 19:26,R_42Ag0hvEA1X5Bk9,anonymous,JA,1,42,1,3,86,5,5,5,5,6,6,5,5,5,5,5,7,3,4,6,8,2,3,5,10,1,3,5,10,10,10,10,10,0,10,0,0,0,0,0,10,7,5,6,7,7.5,5,6.5,7.5,0,1,0,10,10,10,2,10,10,10,2,10,0,0,0,10,10,10,5,10,5,5,6,10,0,0,5,10,10,5,5,5,1,1,5,10,0,0,0,10,7,7,3,7,7,10,1,10,3,3,1,10,10,10,3,10,10,5,1,10,10,2,1,10,10,10,10,10,10,4,10,10,0,0,0,10,10,10,10,10,10,5,5,10,1,0,1,10,5,2,6,8,5,2,7,8,0,2,8,9,6,6,5,6,7,7,6,7,7.5,7,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,4,10,11,3,4,3,3,3,7,5,5,5,5,5,5,1,3,2,2,3,2,5,3,2,3,3,3,3,1,2,2,2,2,2,1,2,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,5,47,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 18:34,2025/2/18 19:11,0,100,2201,1,2025/2/18 19:11,R_4VDBH687jyg9NkZ,anonymous,JA,1,32,2,3,0,8,8,2.5,4.5,5.5,9,1.5,9,2,7,1.5,9,9.5,2.5,0.5,9.5,4,2.5,0.5,10,1,3,0.5,10,9,9,3.5,9,2,10,1.5,3,2,9,1.5,9,9,6.5,7,9.5,9,5,4.5,9.5,4.5,4.5,4.5,10,8.5,8.5,4.5,7,8.5,8.5,4.5,8.5,5.5,4,2,10,9.5,9.5,2.5,8,2,2,2.5,10,0.5,0.5,2.5,10,7,4.5,4,4,5.5,4.5,4,4,4.5,2,4,6,7.5,1.5,0.5,4.5,7.5,1.5,0.5,5.5,7,1.5,0.5,6,8,7,4,7.5,8.5,1,4,8.5,8.5,1,4,8.5,10,9,6.5,7.5,7,6.5,4.5,9,1.5,1.5,1,10,5.5,8,6,6,6.5,8,6,6,4,1,5,7,7.5,2.5,4.5,6.5,7.5,2.5,5,4,3,2.5,5,5.5,9,9,1,5.5,9,9,1,8.5,9,3.5,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,8,7,10,2,6,7,7,6,7,5,5,5,5,5,5,1,3,5,4,5,4,5,3,5,5,3,3,3,2,1,2,2,2,2,1,2,1,2,1,1,2,3,5,4,5,3,3,4,3,4,5,4,4,4,2,4,5,4,50,5,47,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 19:32,2025/2/18 20:19,0,100,2817,1,2025/2/18 20:19,R_93Waf5gCRcnlXCZ,anonymous,JA,1,7,2,3,102,7.5,10,5.5,7.5,7.5,8.5,7.5,7.5,4,3.5,9.5,7.5,10,7.5,1,7,10,5,1,10,0,0,0,10,7.5,7.5,8,8.5,0,10,3.5,8.5,7,0,0,10,7.5,5,5,6,8,5,5,9,0,0,0,10,7.5,7.5,5,8,1.5,2,2,8,1.5,0,0,10,8.5,8.5,2.5,8,0,0,0,10,0,0,0,10,7.5,1,2,7.5,0,0,0,10,0,0,0,10,7.5,5,3,5,7.5,5,0,10,0,0,0,10,6.5,6,3.5,8.5,6.5,6,3.5,8.5,4.5,6,3.5,8.5,7,8,2.5,8,4.5,7,0,10,0,0,0,10,9,9.5,9,9,9,2.5,2,10,0,0,0,10,8,5,7.5,7,8,5,7.5,9,8,0,0,10,7.5,7.5,7.5,7.5,2.5,3.5,7.5,10,2.5,0,0.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,2,9,7,1,4,1,1,1,1,3,3,2,2,5,3,2,2,1,3,1,2,1,3,1,2,4,1,1,2,1,2,2,1,2,1,2,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,5,47,1,0,,,,,,,,,,,,,,,,,,,,
2025/2/18 20:57,2025/2/18 21:31,0,100,2043,1,2025/2/18 21:31,R_9nAU4T2Yxt3hJHI,anonymous,JA,1,9,2,4,380,4,3,3,2.5,4,4,4,5.5,4,4,3.5,5.5,10,5,1,10,6,0,0,10,0,0,0,10,6.5,6.5,6,7,1,9.5,1,8.5,1.5,5.5,1,6.5,10,5,5,10,10,5,5,10,0,0,0,10,9,7.5,5,9,6,10,4,10,0,0,0,10,8,6.5,5,8,1.5,0,5,10,0,0,5,10,6.5,3.5,3,5,3.5,2,3,5.5,3,0,0.5,10,10,4,0,3,10,5.5,0,8,5.5,5,0,10,7.5,3.5,0,8.5,9.5,2.5,0,10,9.5,2.5,0,10,9,9,2,9,5.5,5.5,2,10,0,0,0,10,8,5,8,9,9,2.5,8,9,2,0,2,10,5,5,5,8.5,2.5,2,2.5,7,2,2,2,9.5,10,10,1,10,10,10,2,10,8,6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,5,5,8,4,4,4,5,3,7,3,3,3,3,3,1,4,3,1,3,3,3,3,3,3,3,2,3,3,1,2,2,2,1,1,1,2,1,1,1,1,3,3,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,100,100,24,1,0,,,,,,,,,,,,,,,,,,,,
