開始日,終了日,回答の進行状況,終了状況,回答時間（秒単位）,記録日,ID生成,匿名,母国語,同意するか,年齢,性別,最終学歴,個人収入,世帯収入,BADE練習ヒント1解釈1,BADE練習ヒント1解釈2,BADE練習ヒント1解釈3,BADE練習ヒント1解釈4,BADE練習ヒント2解釈1,BADE練習ヒント2解釈2,BADE練習ヒント2解釈3,BADE練習ヒント2解釈4,BADE練習ヒント3解釈1,BADE練習ヒント3解釈2,BADE練習ヒント3解釈3,BADE練習ヒント3解釈4,BADE1ヒント1解釈1,BADE1ヒント1解釈2,BADE1ヒント1解釈3,BADE1ヒント1解釈4,BADE1ヒント2解釈1,BADE1ヒント2解釈2,BADE1ヒント2解釈3,BADE1ヒント2解釈4,BADE1ヒント3解釈1,BADE1ヒント3解釈2,BADE1ヒント3解釈3,BADE1ヒント3解釈4,BADE2ヒント1解釈1,BADE2ヒント1解釈2,BADE2ヒント1解釈3,BADE2ヒント1解釈4,BADE2ヒント2解釈1,BADE2ヒント2解釈2,BADE2ヒント2解釈3,BADE2ヒント2解釈4,BADE2ヒント3解釈1,BADE2ヒント3解釈2,BADE2ヒント3解釈3,BADE2ヒント3解釈4,BADE3ヒント1解釈1,BADE3ヒント1解釈2,BADE3ヒント1解釈3,BADE3ヒント1解釈4,BADE3ヒント2解釈1,BADE3ヒント2解釈2,BADE3ヒント2解釈3,BADE3ヒント2解釈4,BADE3ヒント3解釈1,BADE3ヒント3解釈2,BADE3ヒント3解釈3,BADE3ヒント3解釈4,BADE4ヒント1解釈1,BADE4ヒント1解釈2,BADE4ヒント1解釈3,BADE4ヒント1解釈4,BADE4ヒント2解釈1,BADE4ヒント2解釈2,BADE4ヒント2解釈3,BADE4ヒント2解釈4,BADE4ヒント3解釈1,BADE4ヒント3解釈2,BADE4ヒント3解釈3,BADE4ヒント3解釈4,BADE5ヒント1解釈1,BADE5ヒント1解釈2,BADE5ヒント1解釈3,BADE5ヒント1解釈4,BADE5ヒント2解釈1,BADE5ヒント2解釈2,BADE5ヒント2解釈3,BADE5ヒント2解釈4,BADE5ヒント3解釈1,BADE5ヒント3解釈2,BADE5ヒント3解釈3,BADE5ヒント3解釈4,BADE6ヒント1解釈1,BADE6ヒント1解釈2,BADE6ヒント1解釈3,BADE6ヒント1解釈4,BADE6ヒント2解釈1,BADE6ヒント2解釈2,BADE6ヒント2解釈3,BADE6ヒント2解釈4,BADE6ヒント3解釈1,BADE6ヒント3解釈2,BADE6ヒント3解釈3,BADE6ヒント3解釈4,BADE7ヒント1解釈1,BADE7ヒント1解釈2,BADE7ヒント1解釈3,BADE7ヒント1解釈4,BADE7ヒント2解釈1,BADE7ヒント2解釈2,BADE7ヒント2解釈3,BADE7ヒント2解釈4,BADE7ヒント3解釈1,BADE7ヒント3解釈2,BADE7ヒント3解釈3,BADE7ヒント3解釈4,BADE8ヒント1解釈1,BADE8ヒント1解釈2,BADE8ヒント1解釈3,BADE8ヒント1解釈4,BADE8ヒント2解釈1,BADE8ヒント2解釈2,BADE8ヒント2解釈3,BADE8ヒント2解釈4,BADE8ヒント3解釈1,BADE8ヒント3解釈2,BADE8ヒント3解釈3,BADE8ヒント3解釈4,BADE9ヒント1解釈1,BADE9ヒント1解釈2,BADE9ヒント1解釈3,BADE9ヒント1解釈4,BADE9ヒント2解釈1,BADE9ヒント2解釈2,BADE9ヒント2解釈3,BADE9ヒント2解釈4,BADE9ヒント3解釈1,BADE9ヒント3解釈2,BADE9ヒント3解釈3,BADE9ヒント3解釈4,BADE10ヒント1解釈1,BADE10ヒント1解釈2,BADE10ヒント1解釈3,BADE10ヒント1解釈4,BADE10ヒント2解釈1,BADE10ヒント2解釈2,BADE10ヒント2解釈3,BADE10ヒント2解釈4,BADE10ヒント3解釈1,BADE10ヒント3解釈2,BADE10ヒント3解釈3,BADE10ヒント3解釈4,BADE11ヒント1解釈1,BADE11ヒント1解釈2,BADE11ヒント1解釈3,BADE11ヒント1解釈4,BADE11ヒント2解釈1,BADE11ヒント2解釈2,BADE11ヒント2解釈3,BADE11ヒント2解釈4,BADE11ヒント3解釈1,BADE11ヒント3解釈2,BADE11ヒント3解釈3,BADE11ヒント3解釈4,BADE12ヒント1解釈1,BADE12ヒント1解釈2,BADE12ヒント1解釈3,BADE12ヒント1解釈4,BADE12ヒント2解釈1,BADE12ヒント2解釈2,BADE12ヒント2解釈3,BADE12ヒント2解釈4,BADE12ヒント3解釈1,BADE12ヒント3解釈2,BADE12ヒント3解釈3,BADE12ヒント3解釈4,疑似科学信奉尺度1,疑似科学信奉尺度2,疑似科学信奉尺度3,疑似科学信奉尺度4,疑似科学信奉尺度5,疑似科学信奉尺度6,疑似科学信奉尺度7,疑似科学信奉尺度8,疑似科学信奉尺度9,疑似科学信奉尺度10,疑似科学信奉尺度11,疑似科学信奉尺度12,疑似科学信奉尺度13,疑似科学信奉尺度14,疑似科学信奉尺度15,疑似科学信奉尺度16,疑似科学信奉尺度17,疑似科学信奉尺度18,疑似科学信奉尺度19,CMQ-J1,CMQ-J2,CMQ-J3,CMQ-J4,CMQ-J5,科学的推論能力1,科学的推論能力2,科学的推論能力3,科学的推論能力4,科学的推論能力5,科学的推論能力6,科学的推論能力7,科学的推論能力8,科学的推論能力9,科学的推論能力10,科学的推論能力11,科学的推論能力12,被害妄想1,被害妄想2,被害妄想3,被害妄想4,被害妄想5,被害妄想6,被害妄想7,被害妄想8,被害妄想9,被害妄想10,被害妄想11,被害妄想12,被害妄想13,被害妄想14,被害妄想15,被害妄想16,被害妄想17,被害妄想18,CRT1,CRT2,CRT3,IMC,IMC,IMC,IMC,IMC,IMC,IMC,IMC,IMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/6/26 1:58,2024/6/26 2:11,0,100,822,2024/6/26 2:11,R_4I5Msj7Cu0h24Uj,anonymous,JA,1,43,1,3,300,300,2,3.5,7,8.5,0.5,3.5,7,8.5,0.5,3.5,3,8.5,3.5,3,3,2.5,2,2,2,1,2,2,2,5,8,5,10,8,8,5,5.5,6,5,3.5,3.5,7,2.5,0.5,6,5,5,0.5,7.5,3,3.5,0.5,6.5,2,8,6,0.5,4,5,6,0.5,7,8.5,6,1.5,10,2.5,6.5,7,3.5,2.5,5,4.5,5.5,4.5,7.5,3.5,4,3.5,4,3.5,4,5,7,7,5.5,3.5,2.5,6.5,3.5,3,4.5,7,2.5,5.5,3,3,5,3.5,5.5,5.5,3.5,4,6.5,3.5,3.5,6,6.5,4.5,5.5,5,5.5,3.5,4.5,5,4,6.5,6.5,3.5,5.5,4.5,4.5,6,6.5,3.5,3.5,5,5,5,5,3.5,7,3.5,5,5,5.5,5,6.5,6.5,7,4,4,4,5,6,4,5.5,6.5,4.5,6,7,7,3.5,7,3,5,5.5,4.5,4.5,3,3.5,3,3,3,2,2,3,2,3,3,1,4,1,2,2,2,3,3,3,1,5,5,8,5,7,1,1,2,2,2,1,2,2,1,1,1,2,2,3,4,3,4,2,3,3,2,2,4,4,3,3,2,3,3,3,2,100,50,86,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2024/6/26 1:57,2024/6/26 2:13,0,100,936,2024/6/26 2:13,R_4IjiHZuvtUBBFqy,anonymous,JA,1,47,1,4,620,710,4,2.5,1,1.5,6,7,1.5,4.5,3.5,6,1.5,8,4,2.5,2.5,7,6,2.5,1.5,9,1,2.5,1.5,9,7.5,7,6.5,9,1.5,8,3,8,1.5,4,3,7,9.5,2,3,6.5,9.5,3.5,3,8.5,2,1.5,3,9.5,8,6.5,1.5,6.5,4,6.5,1.5,8.5,3.5,1.5,1.5,9.5,7,7,3.5,9,2,2.5,2,9.5,1,1.5,4,10,6,3.5,3.5,6.5,2,2,2.5,6.5,2,1,1.5,8.5,8.5,3.5,3,6.5,8.5,3.5,1.5,8.5,6,2.5,1.5,9,8.5,6.5,3.5,7.5,9.5,2,1.5,7.5,8,2,1.5,9,7.5,6.5,4,7.5,6,4,3,9,1.5,1.5,1.5,9.5,7,6.5,1.5,8.5,8.5,3.5,1.5,8.5,1.5,5,0.5,9.5,7,2,3.5,8,7,1,2.5,8.5,1.5,1,1,9,7.5,9,4,6.5,7.5,7,2.5,2.5,7.5,1,1,9.5,4,5,1,2,2,1,4,4,2,2,3,3,2,3,3,3,2,2,2,9,10,7,8,9,2,1,2,2,2,2,2,2,1,2,1,1,1,3,3,4,3,4,3,3,3,2,4,4,4,5,3,4,5,4,50,5,47,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
2024/6/26 1:59,2024/6/26 2:13,0,100,846,2024/6/26 2:13,R_4i2vNknOSard1rd,anonymous,JA,1,30,1,2,320,320,6,4.5,3.5,5.5,6,6.5,3.5,7.5,3,3,2.5,8,7.5,5.5,4,7.5,7.5,4,3,8,2,3,2,9,7.5,3.5,4.5,7,3.5,7.5,2.5,6.5,3.5,7.5,2.5,7,6.5,4,5,6.5,8,3,4,8,2,1.5,2,9.5,7,6,5,7,7,4.5,3.5,7,2,1.5,2,9.5,6,5.5,3.5,6,2,2,2,8,1,1,1,9.5,5.5,5,3.5,5,4.5,5,4,5,1.5,1,1,8.5,8,5,2,6.5,5,3.5,2,6.5,2,1,1,9,5,5,3.5,6,6,2.5,2.5,6,7,1.5,2.5,7,6.5,7.5,5,6.5,6.5,6,5,7.5,0.5,1,1,9,7,5,3.5,7,7,4,3.5,7,6,3,1.5,7.5,6,3.5,5,4,6,3.5,3,4,3,1,1,9,5,7.5,4,5.5,6,7.5,4,6.5,2,2,1.5,8,4,3,4,3,4,2,4,3,2,3,2,3,3,3,3,4,2,2,3,7,6,7,5,5,1,2,1,2,2,1,1,2,1,2,1,2,2,2,3,5,4,3,4,4,4,5,4,5,5,5,4,4,5,5,50,5,47,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
2024/6/26 1:58,2024/6/26 2:14,0,100,978,2024/6/26 2:14,R_4Nyb26f8Y79bt4S,anonymous,JA,1,47,2,4,24,750,7.5,3,1.5,2.5,4.5,6.5,1.5,7,3,6,1,7.5,7.5,5.5,1,8.5,7,4.5,0.5,9.5,2.5,3,0,10,7,6.5,6,8,2,8,2.5,4.5,3.5,2,3,1.5,7,1.5,3.5,6,6,0.5,2,8,0,0,0,9.5,8,7,2.5,6,8,7.5,1.5,7,7.5,1.5,0,9,7.5,7,1,3,5,1,1,7.5,0.5,0,0.5,9,3.5,1.5,0,6,1.5,1.5,0,6.5,1,0,0,8.5,7.5,4.5,2,6.5,8.5,4.5,1.5,7.5,2.5,1.5,1.5,9,5.5,6,3.5,7.5,3,2,1,8.5,0.5,1.5,0,10,6.5,6,5.5,6,4,5.5,4.5,6.5,1,0.5,0,9,7,3,1,5.5,7,2,0,8,6.5,2,0,9,6.5,1,6,6.5,6.5,1,6,7.5,2,0.5,3.5,8.5,7.5,6,1.5,2.5,7.5,7,0.5,6,5.5,4.5,0,9,4,4,3,4,3,3,2,2,1,2,3,1,1,3,2,3,4,1,1,2,3,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,100,20,24,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
2024/6/26 2:07,2024/6/26 2:14,0,100,439,2024/6/26 2:14,R_4Gx0PbIqjOkI18Z,anonymous,JA,1,20,1,4,50,50,1.5,2,2.5,3,1.5,1.5,4,3,1.5,1.5,1.5,2.5,5.5,4.5,2,6,4,4,2,7.5,3,4,2,9.5,5,6,6,6,2.5,6,4.5,6,2.5,2,1.5,4.5,6,3.5,5,5,7.5,2.5,7,5,3.5,2.5,3,9,5,5,6,5,5,5,6,5,3,2.5,3,7.5,5,5,5,5,5,5,5,6.5,2,1,2,9.5,5,5,5,5,5.5,5,5,5,5.5,5,5,8.5,5,5,5,5,5,5,4,7,5,3,3,8.5,5,3.5,3,5,6,1.5,3,7,6,1.5,3,9,5,5,5,5,5,3,5.5,4,5,3,6.5,7,7,5,5,5,8.5,5,5,5,6,5,5,5,7.5,5,5,8,7.5,5,5,8,4.5,4,5,10,5,6,5,5,6,6,6,5,6,3,5,8,3,4,4,4,4,3,4,2,2,2,3,4,3,2,5,3,3,2,2,3,5,4,3,3,1,2,1,2,2,2,1,2,2,1,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,5,47,,,,,,,,,縺昴ｮ莉,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
2024/6/26 1:57,2024/6/26 2:15,0,100,1126,2024/6/26 2:15,R_4hzuAN3mHbSjNaS,anonymous,JA,1,47,1,4,600,600,7,1,6,8,7.5,7,8,10,8,7.5,10,10,2,6,1,6,1,6.5,2,9,0.5,7,1.5,10,6,6,6.5,7,1,8,6,7.5,0.5,1,7,8,7,4,3.5,5.5,7.5,6,3,7,0,0,0,10,6.5,7,5.5,6.5,4,4.5,6,7,0,0,0,10,6,8,4,7,1.5,2,6,8,0,0,0,10,3.5,1.5,2.5,3.5,1.5,1,6.5,6,0,0,0,10,6.5,6,1,6,7,7,0.5,7,0,0,0.5,10,6.5,6,2,6.5,7.5,6.5,1,7,1,1,1,10,7.5,6.5,3,6,7,4.5,2.5,6.5,0,0,0,10,6,4,6,6,6.5,3.5,6.5,7,0,0,1,10,7.5,3,7,7.5,8,2.5,7.5,8,0,0,0,10,6.5,6.5,1,6,7,7.5,6.5,7,1,0,0,10,1,1,1,1,1,1,5,1,1,2,1,2,1,2,2,2,1,1,1,5,9,3,3,3,2,2,2,2,2,2,2,2,1,2,1,2,1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,5,47,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
2024/6/26 1:57,2024/6/26 2:16,0,100,1084,2024/6/26 2:16,R_4pPLRlOgAELjDQ2,anonymous,JA,1,42,1,3,9000,1500,8,3,6,5.5,8,8,8,3.5,1,2,7,5.5,8,2.5,0,6,1.5,2.5,0,8,0,1,0,9.5,9,7.5,7.5,9,0,9.5,0,9,0,0,0,10,8.5,9.5,0,9,10,9.5,1.5,10,10,9.5,1.5,10,9.5,3,8,8,8,2,8,10,0,0,0,10,9,9.5,1.5,9,7,0,8,10,0,0,6.5,10,1.5,1.5,5,2.5,7,6,0,5,7.5,0,0,10,9.5,8,0,8,9.5,9.5,0,10,6,6,0,10,7,7,1,8,8.5,8.5,5,9,7.5,7.5,7.5,10,9,9,6,7.5,8,8,5,9.5,0,0,0,10,10,7,10,8.5,10,3,3,9.5,3,1,0,9.5,9.5,7,1,9.5,9.5,8.5,0,10,10,6.5,0,10,9,9,9,7.5,9,7,9,9.5,7.5,0,4.5,10,5,4,4,4,5,3,1,4,4,3,5,4,5,3,5,4,4,5,3,11,10,8,9,9,2,2,2,2,2,1,1,1,2,2,1,1,1,1,5,5,5,1,1,1,1,1,1,3,1,5,1,3,3,5,100,2,12,,,,繝ｩ繝ｳ繝九Φ繧ｰ,,,,,縺昴ｮ莉,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
2024/6/26 2:06,2024/6/26 2:17,0,100,678,2024/6/26 2:17,R_4EfP14L30Mx89Xr,anonymous,JA,1,34,2,4,600,800,7,2.5,5.5,3,7,2.5,8,3,8.5,2.5,8,8.5,9,2,1,0,9,2,1,7.5,9,2,1,10,5,5.5,5,5,1.5,5.5,1,5,0,0,1,0,5,0,0,0,5,0,0,0,0,0,0,10,5,5.5,5,5,5,5.5,4.5,5,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,10,5,5,5,5,5,5,5,5,0.5,0.5,0,9.5,5,5,7.5,5,5,5,7.5,5,0,0,0,10,5,5,5,5,5,5,5,5,0,0,0,10,5,5,5,5,5,5,5,5,0,0,0,10,5,5,5,5,5,5,5,5,0,10,0,1.5,5,5,5,5,5,5,5,5,2,1.5,1.5,10,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,2,3,2,3,3,2,4,3,2,2,3,3,4,4,3,3,3,11,8,9,7,1,1,2,1,1,1,2,2,1,1,1,1,3,3,5,5,5,5,5,4,5,5,4,5,3,3,5,3,5,5,100,100,4,,,,繝ｩ繝ｳ繝九Φ繧ｰ,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
2024/6/26 2:02,2024/6/26 2:17,0,100,914,2024/6/26 2:17,R_4zUdfI2pgwjWfKt,anonymous,JA,1,45,2,2,0,600,7,4,5.5,8,8.5,1,1.5,7,8.5,8.5,6,9,5.5,8,1,8,5.5,5.5,0.5,9.5,6,6,0.5,10,9,9,9,9,4.5,9.5,4.5,9.5,6,1.5,6,9.5,8,1.5,5.5,6.5,9.5,1,2,7.5,0,0,0,10,9.5,9,6,9,9.5,6,1.5,9.5,0,0,0,10,9,9.5,0.5,8,6,0.5,0.5,9.5,0,0,0,10,2,6,5.5,8,3,8,0.5,8,2,1.5,0.5,10,5.5,4.5,5.5,4.5,4.5,4,1.5,3.5,3.5,4.5,1,3,7.5,7.5,3.5,7.5,1,2,1.5,9,2.5,2,0.5,10,8,7.5,5.5,5.5,7.5,7,6,6.5,0.5,0.5,0.5,10,7,6,3.5,7,8.5,4.5,2,8,8,0.5,1,9.5,9,3.5,3,10,9,2.5,1.5,10,9.5,0,1.5,10,7,9.5,1,5.5,8,9,0.5,7,8.5,7,0,9.5,3,4,3,3,3,2,2,3,2,1,3,4,4,4,3,2,3,2,1,7,7,5,7,5,1,2,2,1,2,1,2,1,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,20,24,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
2024/6/26 2:00,2024/6/26 2:18,0,100,1098,2024/6/26 2:18,R_4VwOQMY7Wx83LSA,anonymous,JA,1,45,1,4,450,750,6.5,6,4.5,6,7,7.5,3.5,7,6.5,8,4,7.5,2.5,5,1,8.5,3,6,1,9,3,5,1,9.5,7,9,6,8.5,2,9,1.5,7.5,1,2,1.5,5.5,9,0.5,1,8,9,0.5,1,9,0.5,0,0,10,9,9,8,7.5,4.5,8.5,5,8.5,0,0,0,10,7,9.5,4.5,6,1.5,1,3.5,9.5,0,0,1.5,10,8.5,5.5,2.5,3.5,7.5,6,1.5,1.5,1,0,0,9,9.5,5,2.5,6.5,4,3,1,9,1,3,1,10,7.5,5.5,3,6.5,8,1,0.5,9.5,8,0,0,10,8.5,8.5,4,8.5,7,7.5,3,7.5,2.5,1,1.5,10,7,9,6.5,6,7,9,7,7,7.5,7,6,7.5,7,1.5,7.5,8,7,1.5,7,8,0.5,0,0.5,9.5,8,9,4,6.5,9.5,6,4,8,8.5,0,0,10,4,4,3,4,4,4,3,3,3,2,4,4,4,2,4,4,2,4,4,10,9,8,8,10,1,1,1,2,2,1,2,2,1,2,1,1,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,100,100,24,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
